"BUSI_DT","Eng_Prefix","Full_Name","Thai_Prefix","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Mr.","นายธีระเดช ตันไพบูลย์","นาย","ธีระเดช","ตันไพบูลย์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายบวร ศรีสง่าตระกูล","นาย","บวร","ศรีสง่าตระกูล","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายบุญเติบ จีรภัทร์","นาย","บุญเติบ","จีรภัทร์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางพิภาพัณณ์ อรรถวานิช","นาง","พิภาพัณณ์","อรรถวานิช","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mrs.","นางภัทราภา หงษ์คำดี","นาง","ภัทราภา","หงษ์คำดี","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายภาสกร อรพนิชอารี","นาย","ภาสกร","อรพนิชอารี","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวร่มฉัตร ทรงศิริ","นางสาว","ร่มฉัตร","ทรงศิริ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายวีระพล บดีรัฐ","นาย","วีระพล","บดีรัฐ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายสุขสันต์ วัฒนายากร","นาย","สุขสันต์","วัฒนายากร","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.ดลินี ศาสตระรุจิ","ดร.","ดลินี","ศาสตระรุจิ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Dr.","ดร.บุริศวร์ กิตติรังสิ","ดร.","บุริศวร์","กิตติรังสิ","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวพัชรี จำนง","นางสาว","พัชรี","จำนง","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายอรรถสิทธิ์ เอื้ออารักษ์","นาย","อรรถสิทธิ์","เอื้ออารักษ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Mr.","นายอุดร อุปเส็น","นาย","อุดร","อุปเส็น","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวชิพาภัสร์ ศรีนครไทย","นางสาว","ชิพาภัสร์","ศรีนครไทย","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวรวีวรรณ มูลทรัพย์","นางสาว","รวีวรรณ","มูลทรัพย์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่"
"2026-01-15","Ms.","นางสาวสุใจ หาญเชาว์วงศ์","นางสาว","สุใจ","หาญเชาว์วงศ์","ธนาคารกสิกรไทย","ผู้ช่วยผู้จัดการใหญ่​"
"2026-01-15","Dr.","ดร.พิพัฒน์พงศ์ โปษยานนท์","ดร.","พิพัฒน์พงศ์","โปษยานนท์","ธนาคารกสิกรไทย","ผู้จัดการใหญ่"
